task,model,source,lang,lpr,wpr
monolingual,mistral-large,all,ru,0.98,0.99
monolingual,mistral-large,all,ja,0.48,0.98
monolingual,mistral-large,all,ko,0.64,1.0
monolingual,mistral-large,all,de,0.98,
monolingual,mistral-large,all,id,0.31,
monolingual,mistral-large,all,it,0.99,
monolingual,mistral-large,all,vi,0.29,
monolingual,mistral-large,all,all,0.7,0.98
crosslingual,gpt-4-turbo,complex_prompts,ar,0.77,0.93
crosslingual,gpt-4-turbo,complex_prompts,de,0.83,
crosslingual,gpt-4-turbo,complex_prompts,es,0.82,
crosslingual,gpt-4-turbo,complex_prompts,fr,0.8,
crosslingual,gpt-4-turbo,complex_prompts,hi,0.77,0.92
crosslingual,gpt-4-turbo,complex_prompts,id,0.75,
crosslingual,gpt-4-turbo,complex_prompts,it,0.79,
crosslingual,gpt-4-turbo,complex_prompts,ja,0.77,0.88
crosslingual,gpt-4-turbo,complex_prompts,ko,0.78,0.9
crosslingual,gpt-4-turbo,complex_prompts,pt,0.77,
crosslingual,gpt-4-turbo,complex_prompts,ru,0.77,0.89
crosslingual,gpt-4-turbo,complex_prompts,tr,0.79,
crosslingual,gpt-4-turbo,complex_prompts,vi,0.77,
crosslingual,gpt-4-turbo,complex_prompts,zh,0.69,0.91
crosslingual,gpt-4-turbo,okapi,ar,0.94,1.0
crosslingual,gpt-4-turbo,okapi,de,0.99,
crosslingual,gpt-4-turbo,okapi,es,0.98,
crosslingual,gpt-4-turbo,okapi,fr,0.95,
crosslingual,gpt-4-turbo,okapi,hi,0.99,1.0
crosslingual,gpt-4-turbo,okapi,id,0.93,
crosslingual,gpt-4-turbo,okapi,it,0.99,
crosslingual,gpt-4-turbo,okapi,ja,0.93,0.99
crosslingual,gpt-4-turbo,okapi,ko,0.95,1.0
crosslingual,gpt-4-turbo,okapi,pt,0.96,
crosslingual,gpt-4-turbo,okapi,ru,0.98,1.0
crosslingual,gpt-4-turbo,okapi,tr,0.98,
crosslingual,gpt-4-turbo,okapi,vi,0.99,
crosslingual,gpt-4-turbo,okapi,zh,0.97,1.0
crosslingual,gpt-4-turbo,sharegpt,ar,0.96,0.99
crosslingual,gpt-4-turbo,sharegpt,de,0.97,
crosslingual,gpt-4-turbo,sharegpt,es,0.99,
crosslingual,gpt-4-turbo,sharegpt,fr,0.97,
crosslingual,gpt-4-turbo,sharegpt,hi,0.97,1.0
crosslingual,gpt-4-turbo,sharegpt,id,0.94,
crosslingual,gpt-4-turbo,sharegpt,it,0.97,
crosslingual,gpt-4-turbo,sharegpt,ja,0.93,1.0
crosslingual,gpt-4-turbo,sharegpt,ko,0.96,1.0
crosslingual,gpt-4-turbo,sharegpt,pt,1.0,
crosslingual,gpt-4-turbo,sharegpt,ru,0.95,0.98
crosslingual,gpt-4-turbo,sharegpt,tr,0.97,
crosslingual,gpt-4-turbo,sharegpt,vi,0.94,
crosslingual,gpt-4-turbo,sharegpt,zh,0.98,1.0
crosslingual,gpt-4-turbo,complex_prompts,all,0.78,0.91
crosslingual,gpt-4-turbo,okapi,all,0.97,1.0
crosslingual,gpt-4-turbo,sharegpt,all,0.96,0.99
crosslingual,gpt-4-turbo,all,ar,0.89,0.97
crosslingual,gpt-4-turbo,all,de,0.93,
crosslingual,gpt-4-turbo,all,es,0.93,
crosslingual,gpt-4-turbo,all,fr,0.91,
crosslingual,gpt-4-turbo,all,hi,0.91,0.97
crosslingual,gpt-4-turbo,all,id,0.87,
crosslingual,gpt-4-turbo,all,it,0.92,
crosslingual,gpt-4-turbo,all,ja,0.88,0.96
crosslingual,gpt-4-turbo,all,ko,0.9,0.97
crosslingual,gpt-4-turbo,all,pt,0.91,
crosslingual,gpt-4-turbo,all,ru,0.9,0.96
crosslingual,gpt-4-turbo,all,tr,0.91,
crosslingual,gpt-4-turbo,all,vi,0.9,
crosslingual,gpt-4-turbo,all,zh,0.88,0.97
crosslingual,gpt-4-turbo,all,all,0.9,0.97
monolingual,gpt-4-turbo,aya_human_annotated,ar,0.98,1.0
monolingual,gpt-4-turbo,aya_human_annotated,en,1.0,
monolingual,gpt-4-turbo,aya_human_annotated,pt,1.0,
monolingual,gpt-4-turbo,aya_human_annotated,tr,1.0,
monolingual,gpt-4-turbo,aya_human_annotated,zh,0.99,0.98
monolingual,gpt-4-turbo,dolly_human_edited,ar,0.99,1.0
monolingual,gpt-4-turbo,dolly_human_edited,es,1.0,
monolingual,gpt-4-turbo,dolly_human_edited,fr,1.0,
monolingual,gpt-4-turbo,dolly_human_edited,hi,1.0,1.0
monolingual,gpt-4-turbo,dolly_human_edited,ru,1.0,1.0
monolingual,gpt-4-turbo,native_prompts,es,0.98,
monolingual,gpt-4-turbo,native_prompts,fr,0.99,
monolingual,gpt-4-turbo,native_prompts,ja,1.0,1.0
monolingual,gpt-4-turbo,native_prompts,ko,1.0,0.99
monolingual,gpt-4-turbo,okapi,ar,1.0,1.0
monolingual,gpt-4-turbo,okapi,de,1.0,
monolingual,gpt-4-turbo,okapi,en,1.0,
monolingual,gpt-4-turbo,okapi,es,1.0,
monolingual,gpt-4-turbo,okapi,fr,0.99,
monolingual,gpt-4-turbo,okapi,id,0.96,
monolingual,gpt-4-turbo,okapi,it,0.99,
monolingual,gpt-4-turbo,okapi,pt,0.96,
monolingual,gpt-4-turbo,okapi,vi,1.0,
monolingual,gpt-4-turbo,okapi,zh,0.99,1.0
monolingual,gpt-4-turbo,aya_human_annotated,all,0.99,0.99
monolingual,gpt-4-turbo,dolly_human_edited,all,1.0,1.0
